partido_label;sexo_cod;sexo_label;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Carlos Tejedor;1;Masculino;5885;5880;5875;5870;5865;5860;5855;5850;5845;5840;5836;5831;5827;5822;5818;5813
Carmen de Areco;1;Masculino;7414;7457;7501;7543;7585;7627;7668;7709;7749;7788;7827;7865;7902;7940;7976;8012
Castelli;1;Masculino;4047;4058;4069;4080;4091;4102;4112;4122;4132;4142;4152;4162;4171;4181;4190;4199
Chacabuco;1;Masculino;23955;24139;24322;24504;24683;24859;25033;25205;25374;25541;25705;25867;26026;26183;26338;26490
Chascomús;1;Masculino;20921;21143;21363;21581;21797;22009;22218;22425;22628;22829;23027;23221;23413;23602;23788;23972
Chivilcoy;1;Masculino;31098;31302;31504;31704;31902;32097;32289;32479;32666;32851;33032;33211;33387;33561;33732;33900
Colón;1;Masculino;12241;12347;12451;12554;12656;12757;12856;12954;13050;13145;13239;13331;13422;13512;13600;13687
Coronel de Marina Leonardo Rosales;1;Masculino;30826;30807;30788;30769;30751;30732;30714;30696;30679;30661;30644;30627;30611;30594;30578;30562
Coronel Dorrego;1;Masculino;7819;7768;7722;7676;7632;7588;7544;7502;7459;7418;7377;7338;7298;7259;7221;7184
Coronel Pringles;1;Masculino;11286;11208;11136;11064;10994;10924;10856;10788;10722;10656;10592;10529;10466;10405;10344;10285
Coronel Suárez;1;Masculino;18982;19057;19126;19195;19263;19330;19395;19460;19524;19587;19649;19709;19769;19828;19886;19943
Daireaux;1;Masculino;8495;8563;8631;8698;8764;8830;8894;8957;9020;9082;9143;9202;9261;9320;9377;9433
Dolores;1;Masculino;13215;13289;13362;13435;13506;13577;13646;13715;13783;13849;13915;13980;14044;14106;14168;14229
Ensenada;1;Masculino;28090;28346;28600;28851;29100;29345;29586;29825;30060;30291;30519;30744;30965;31184;31399;31610
Escobar;1;Masculino;106896;109045;111276;113485;115666;117816;119936;122029;124093;126127;128128;130100;132044;133960;135847;137706
Exaltación De La Cruz;1;Masculino;15019;15383;15744;16102;16455;16803;17146;17484;17818;18148;18471;18791;19105;19415;19721;20021
Florentino Ameghino;1;Masculino;4469;4502;4535;4567;4599;4631;4662;4693;4723;4753;4783;4812;4840;4868;4896;4923
General Alvarado;1;Masculino;19600;19825;20047;20268;20486;20700;20912;21121;21327;21530;21730;21926;22120;22312;22500;22686
General Alvear;1;Masculino;6366;6360;6354;6348;6342;6336;6330;6325;6319;6313;6308;6303;6297;6292;6287;6282
General Arenales;1;Masculino;7368;7358;7348;7337;7327;7317;7307;7297;7288;7278;7269;7259;7250;7241;7233;7224
